,city,name,rating,votes
214,Abu_Dhabi,Catch,4.5,301
215,Abu_Dhabi,Gino's Deli,4.5,617
216,Abu_Dhabi,Gino's Deli,4.5,340
217,Abu_Dhabi,Tobasco's,4.4,3213
218,Abu_Dhabi,Bait El Khetyar - بيت الختيار,4.4,9575
219,Abu_Dhabi,Ming's Chamber,4.4,3310
220,Abu_Dhabi,Mora,4.4,9116
221,Abu_Dhabi,Nolu's Downtown,4.4,5450
222,Abu_Dhabi,Hankook Korean,4.4,451
223,Abu_Dhabi,Korean Kitchen,4.4,1885
224,Abu_Dhabi,Galito's,4.4,7026
225,Abu_Dhabi,Alafiya Turkish Restaurant,4.4,861
226,Abu_Dhabi,Off The Hook,4.4,1821
227,Abu_Dhabi,Freez,4.4,145
228,Abu_Dhabi,Nihal Restaurant,4.4,11736
229,Abu_Dhabi,Super Poke,4.4,1198
230,Abu_Dhabi,Sushi Story,4.4,2159
231,Abu_Dhabi,tashas,4.4,232
232,Abu_Dhabi,Abil Fida,4.4,260
233,Abu_Dhabi,Sopranos,4.4,1164
234,Abu_Dhabi,Art House Cafe,4.4,340
235,Abu_Dhabi,Koi Restaurant & Lounge,4.4,206
236,Abu_Dhabi,Belgium Waffles,4.4,183
237,Abu_Dhabi,Anand Al Saeed,4.4,211
238,Abu_Dhabi,Five Guys,4.4,313
239,Abu_Dhabi,Camel Cookies,4.4,1010
240,Abu_Dhabi,Belgian Cafe - InterContinental Hotel,4.4,284
241,Abu_Dhabi,Le Café - Emirates Palace,4.4,172
242,Abu_Dhabi,Sofra bld,4.3,278
243,Abu_Dhabi,Layali Al Sham,4.3,2821
244,Abu_Dhabi,SALT,4.3,576
245,Abu_Dhabi,Dip N Dip,4.3,281
246,Abu_Dhabi,Max's Restaurant,4.3,6058
247,Abu_Dhabi,The Burgerista,4.3,1610
248,Abu_Dhabi,Gazebo,4.3,3173
249,Abu_Dhabi,Indian By Nature,4.3,8363
250,Abu_Dhabi,Najd Palace - قصر نجد,4.3,4184
251,Abu_Dhabi,Manna Land Korean Restaurant,4.3,595
252,Abu_Dhabi,La Farina Pizzeria,4.3,1112
253,Abu_Dhabi,Freedom Pizza,4.3,7807
254,Abu_Dhabi,Punjab Highway Restaurant,4.3,2406
255,Abu_Dhabi,Jazz@PizzaExpress,4.3,5573
256,Abu_Dhabi,Olive Garden,4.3,673
257,Abu_Dhabi,MYNT Indian Cuisine,4.3,2065
258,Abu_Dhabi,Pinza,4.3,2267
259,Abu_Dhabi,Bloomsbury's,4.3,1272
260,Abu_Dhabi,Paul Bakery & Restaurant,4.3,851
261,Abu_Dhabi,Sushi Central,4.3,6587
262,Abu_Dhabi,Ketchup and Mustard,4.3,2899
263,Abu_Dhabi,Broasted King & Fresh Shawarma,4.3,159
264,Abu_Dhabi,Yummy In My Tummy,4.3,509
265,Abu_Dhabi,Il Forno,4.3,5785
266,Abu_Dhabi,The Coffee Club,4.3,400
267,Abu_Dhabi,Villa Toscana,4.3,166
268,Abu_Dhabi,Malaga,4.3,240
269,Abu_Dhabi,Ibsais,4.3,204
270,Abu_Dhabi,Joud Cafe,4.3,199
271,Abu_Dhabi,Sushi Central,4.3,3764
272,Abu_Dhabi,Kulfilicious,4.3,958
273,Abu_Dhabi,99 Sushi Bar & Restaurant Abu Dhabi,4.3,149
274,Abu_Dhabi,Ever Green,4.3,240
275,Abu_Dhabi,Seven Hotpot,4.3,137
276,Abu_Dhabi,Cafe Bateel,4.3,1859
277,Abu_Dhabi,Kuzbara,4.3,172
278,Abu_Dhabi,Sarapng Kusina Restaurant,4.3,2410
279,Abu_Dhabi,Galito's,4.3,960
280,Abu_Dhabi,Bagel Factory,4.3,1202
281,Abu_Dhabi,Caesar's Confectionery,4.3,390
282,Abu_Dhabi,Acai and Co,4.3,210
283,Abu_Dhabi,Li Jiang,4.2,123
284,Abu_Dhabi,Tikka Tonight,4.2,6663
285,Abu_Dhabi,Zaytinya,4.2,3741
286,Abu_Dhabi,India Palace,4.2,2047
287,Abu_Dhabi,Zahrat Lebnan,4.2,5554
288,Abu_Dhabi,Najd Palace - قصر نجد,4.2,1957
289,Abu_Dhabi,Noodle Bowl,4.2,406
290,Abu_Dhabi,Oregano,4.2,2562
