,name,rating,votes
281,Caesar's Confectionery,4.3,390
282,Acai and Co,4.3,210
283,Li Jiang,4.2,123
284,Tikka Tonight,4.2,6663
285,Zaytinya,4.2,3741
286,India Palace,4.2,2047
287,Zahrat Lebnan,4.2,5554
288,Najd Palace - قصر نجد,4.2,1957
289,Noodle Bowl,4.2,406
290,Oregano,4.2,2562
